trial,participant_id,chord_type,tension_rating,dissonance,loudness_db
1,P01,major-seventh,30.4,0.163,60.7
2,P01,augmented,73.9,0.507,71.5
3,P01,dominant-seventh,12.2,0.308,66.2
4,P01,Major,15.2,0.08,69.8
5,P01,dominant-seventh,44.0,0.337,75.3
6,P01,dominant-seventh,22.7,0.312,67.5
7,P01,minor,22.9,0.152,78.8
8,P01,major-seventh,1.8,0.171,64.8
9,P01,half-diminished,43.7,0.516,84.7
10,P01,diminished-seventh,22.4,0.526,65.7
11,P01,major-seventh,23.6,0.17,64.4
12,P01,dominant-seventh,26.0,0.312,67.5
13,P01,half-diminished,56.6,0.512,83.8
14,P01,major-seventh,9.4,0.186,73.6
15,P01,half-diminished,47.1,0.51,83.4
16,P01,diminished-seventh,42.5,0.516,63.9
17,P01,augmented,40.2,0.526,75.2
18,P01,augmented,22.9,0.439,57.8
19,P01,minor,5.1,0.144,73.1
20,P01,dominant-seventh,21.8,0.33,73.0
21,P01,Major,22.4,0.089,81.7
22,P01,major-seventh,0.0,0.163,60.6
23,P01,minor,17.0,0.152,78.6
24,P01,augmented,55.6,0.524,74.8
25,P01,Major,0.0,0.09,82.5
26,P01,diminished-seventh,34.1,0.567,73.0
27,P01,minor,23.7,0.125,59.0
28,P01,diminished-seventh,44.4,0.534,67.1
29,P01,minor,0.0,0.122,57.0
30,P01,half-diminished,50.3,0.498,80.7
31,P01,Major,0.0,0.076,64.6
32,P01,augmented,37.0,0.475,65.1
33,P01,half-diminished,28.9,0.4,58.9
34,P01,diminished-seventh,40.0,0.473,56.0
35,P01,Major,0.0,0.081,71.6
1,P02,half-diminished,40.1,0.396,58.1
2,P02,dominant-seventh,38.5,0.364,83.9
3,P02,Major,20.7,0.071,58.4
4,P02,diminished-seventh,38.4,0.484,58.0
5,P02,minor,20.1,0.157,82.4
6,P02,diminished-seventh,75.8,0.564,72.6
7,P02,major-seventh,27.1,0.189,75.0
8,P02,half-diminished,43.2,0.489,78.7
9,P02,dominant-seventh,21.7,0.29,60.5
10,P02,Major,25.5,0.081,71.6
11,P02,augmented,33.6,0.461,62.2
12,P02,Major,15.8,0.077,66.0
13,P02,Major,34.7,0.091,84.0
14,P02,minor,18.5,0.124,58.6
15,P02,minor,41.8,0.128,61.2
16,P02,dominant-seventh,45.9,0.326,72.0
17,P02,diminished-seventh,61.0,0.622,83.1
18,P02,half-diminished,63.0,0.498,80.6
19,P02,minor,20.2,0.153,79.3
20,P02,Major,9.7,0.085,76.5
21,P02,diminished-seventh,85.1,0.608,80.5
22,P02,major-seventh,15.7,0.168,63.3
23,P02,augmented,72.6,0.536,77.2
24,P02,major-seventh,40.2,0.189,74.9
25,P02,dominant-seventh,31.2,0.287,59.8
26,P02,half-diminished,52.8,0.445,68.9
27,P02,major-seventh,0.0,0.188,74.3
28,P02,augmented,61.7,0.541,78.2
29,P02,half-diminished,43.2,0.41,61.2
30,P02,augmented,62.6,0.54,78.1
31,P02,augmented,15.2,0.437,57.4
32,P02,diminished-seventh,70.9,0.615,81.9
33,P02,minor,3.2,0.128,61.2
34,P02,dominant-seventh,30.7,0.297,62.9
35,P02,major-seventh,9.9,0.154,55.6
1,P03,minor,6.7,0.159,83.4
2,P03,diminished-seventh,33.5,0.547,69.5
3,P03,augmented,32.9,0.428,55.7
4,P03,half-diminished,29.5,0.393,57.3
5,P03,augmented,7.1,0.46,62.0
6,P03,minor,0.6,0.126,59.9
7,P03,augmented,74.4,0.562,82.5
8,P03,Major,15.4,0.086,77.2
9,P03,minor,1.5,0.158,83.0
10,P03,augmented,43.1,0.509,71.8
11,P03,half-diminished,12.4,0.451,70.2
12,P03,major-seventh,18.5,0.195,78.6
13,P03,Major,0.0,0.073,61.0
14,P03,dominant-seventh,0.1,0.274,55.5
15,P03,dominant-seventh,4.6,0.324,71.3
16,P03,major-seventh,45.2,0.204,83.1
17,P03,diminished-seventh,16.3,0.538,67.9
18,P03,major-seventh,0.0,0.154,55.3
19,P03,Major,0.0,0.076,64.9
20,P03,Major,0.0,0.086,77.7
21,P03,Major,0.0,0.071,58.5
22,P03,augmented,48.1,0.558,81.6
23,P03,half-diminished,55.7,0.483,77.3
24,P03,half-diminished,34.6,0.453,70.7
25,P03,minor,0.0,0.137,67.5
26,P03,diminished-seventh,64.9,0.618,82.3
27,P03,diminished-seventh,60.4,0.591,77.4
28,P03,dominant-seventh,3.9,0.283,58.4
29,P03,major-seventh,0.0,0.181,70.3
30,P03,major-seventh,24.6,0.193,77.3
31,P03,dominant-seventh,0.5,0.273,55.3
32,P03,dominant-seventh,2.9,0.303,64.6
33,P03,diminished-seventh,21.1,0.532,66.8
34,P03,minor,0.0,0.121,56.5
35,P03,half-diminished,39.8,0.496,80.3
1,P04,dominant-seventh,62.2,0.362,83.1
2,P04,augmented,71.0,0.561,82.3
3,P04,diminished-seventh,56.0,0.575,74.5
4,P04,major-seventh,25.7,0.182,70.9
5,P04,diminished-seventh,44.4,0.501,61.0
6,P04,augmented,74.5,0.542,78.5
7,P04,Major,14.6,0.085,76.8
8,P04,minor,33.4,0.136,67.4
9,P04,diminished-seventh,61.6,0.576,74.8
10,P04,minor,22.3,0.139,69.0
11,P04,major-seventh,37.3,0.181,70.5
12,P04,half-diminished,37.7,0.405,60.0
13,P04,diminished-seventh,84.5,0.597,78.5
14,P04,half-diminished,22.2,0.434,66.4
15,P04,dominant-seventh,16.1,0.281,57.8
16,P04,minor,39.6,0.128,61.4
17,P04,major-seventh,29.5,0.158,57.8
18,P04,Major,9.4,0.08,69.6
19,P04,half-diminished,43.6,0.402,59.3
20,P04,minor,47.9,0.134,65.8
21,P04,minor,24.1,0.147,74.7
22,P04,half-diminished,67.8,0.454,70.8
23,P04,major-seventh,10.1,0.156,56.5
24,P04,dominant-seventh,19.3,0.301,64.1
25,P04,dominant-seventh,48.4,0.361,82.9
26,P04,augmented,43.2,0.448,59.6
27,P04,major-seventh,38.2,0.173,66.1
28,P04,Major,16.8,0.077,66.4
29,P04,half-diminished,66.6,0.475,75.5
30,P04,Major,49.1,0.088,79.9
31,P04,augmented,35.9,0.516,73.2
32,P04,diminished-seventh,53.8,0.509,62.6
33,P04,augmented,32.9,0.43,56.0
34,P04,Major,34.4,0.084,74.9
35,P04,dominant-seventh,67.1,0.341,76.6
1,P05,dominant-seventh,20.8,0.284,58.7
2,P05,minor,38.9,0.152,78.6
3,P05,half-diminished,53.9,0.438,67.3
4,P05,major-seventh,49.2,0.191,76.0
5,P05,Major,17.6,0.088,79.4
6,P05,minor,2.7,0.131,63.7
7,P05,dominant-seventh,32.3,0.345,77.7
8,P05,major-seventh,64.5,0.186,73.3
9,P05,dominant-seventh,62.4,0.364,83.9
10,P05,diminished-seventh,49.4,0.502,61.2
11,P05,Major,10.9,0.076,64.9
12,P05,Major,8.1,0.09,81.9
13,P05,major-seventh,0.0,0.165,61.7
14,P05,diminished-seventh,76.6,0.607,80.3
15,P05,Major,27.0,0.09,82.9
16,P05,augmented,44.0,0.46,61.9
17,P05,augmented,37.7,0.487,67.5
18,P05,half-diminished,30.6,0.383,55.1
19,P05,minor,9.8,0.136,67.1
20,P05,half-diminished,36.6,0.409,60.8
21,P05,dominant-seventh,12.0,0.303,64.8
22,P05,half-diminished,59.0,0.494,79.8
23,P05,major-seventh,10.7,0.167,62.8
24,P05,half-diminished,42.8,0.414,61.9
25,P05,dominant-seventh,3.4,0.289,60.3
26,P05,minor,26.8,0.122,57.3
27,P05,major-seventh,0.0,0.154,55.4
28,P05,diminished-seventh,72.1,0.606,80.1
29,P05,diminished-seventh,62.5,0.566,72.9
30,P05,Major,37.2,0.086,77.7
31,P05,minor,23.9,0.154,79.8
32,P05,diminished-seventh,48.8,0.564,72.5
33,P05,augmented,44.0,0.441,58.2
34,P05,augmented,69.4,0.555,81.1
35,P05,augmented,78.6,0.559,81.8
1,P06,Major,0.0,0.091,83.3
2,P06,augmented,47.7,0.468,63.5
3,P06,Major,55.0,0.086,76.9
4,P06,augmented,64.5,0.572,84.3
5,P06,minor,0.0,0.126,60.0
6,P06,dominant-seventh,21.2,0.283,58.3
7,P06,Major,9.5,0.082,72.9
8,P06,minor,20.7,0.155,80.4
9,P06,diminished-seventh,35.3,0.483,57.8
10,P06,dominant-seventh,40.5,0.324,71.2
11,P06,dominant-seventh,22.3,0.305,65.4
12,P06,diminished-seventh,64.6,0.609,80.8
13,P06,Major,8.6,0.07,58.1
14,P06,half-diminished,62.6,0.496,80.3
15,P06,diminished-seventh,67.2,0.609,80.7
16,P06,diminished-seventh,38.3,0.504,61.7
17,P06,half-diminished,44.5,0.452,70.5
18,P06,major-seventh,0.0,0.172,65.7
19,P06,augmented,66.1,0.537,77.5
20,P06,half-diminished,43.1,0.448,69.5
21,P06,dominant-seventh,47.7,0.337,75.2
22,P06,augmented,31.3,0.532,76.5
23,P06,augmented,27.8,0.52,74.0
24,P06,minor,0.0,0.131,63.5
25,P06,major-seventh,9.9,0.182,70.9
26,P06,minor,0.0,0.126,60.0
27,P06,half-diminished,48.4,0.474,75.4
28,P06,major-seventh,27.6,0.186,73.5
29,P06,half-diminished,45.5,0.462,72.7
30,P06,dominant-seventh,44.7,0.355,80.9
31,P06,Major,1.3,0.077,66.2
32,P06,minor,31.7,0.144,72.8
33,P06,diminished-seventh,40.9,0.502,61.3
34,P06,major-seventh,3.5,0.161,59.4
35,P06,major-seventh,19.4,0.174,66.5
1,P07,major-seventh,13.6,0.156,56.7
2,P07,diminished-seventh,41.8,0.541,68.4
3,P07,half-diminished,60.0,0.479,76.4
4,P07,augmented,64.3,0.54,78.0
5,P07,augmented,36.0,0.478,65.6
6,P07,Major,11.6,0.082,72.5
7,P07,Major,16.1,0.083,73.2
8,P07,half-diminished,41.1,0.507,82.7
9,P07,minor,11.3,0.149,76.2
10,P07,half-diminished,29.6,0.428,65.2
11,P07,minor,25.9,0.136,67.0
12,P07,major-seventh,0.0,0.156,56.9
13,P07,dominant-seventh,40.9,0.327,72.3
14,P07,diminished-seventh,50.3,0.532,66.7
15,P07,Major,0.0,0.071,58.9
16,P07,diminished-seventh,67.0,0.62,82.8
17,P07,minor,19.4,0.138,68.6
18,P07,augmented,37.4,0.459,61.8
19,P07,minor,43.5,0.158,82.5
20,P07,augmented,64.7,0.558,81.7
21,P07,dominant-seventh,33.5,0.338,75.5
22,P07,dominant-seventh,31.7,0.301,64.1
23,P07,major-seventh,2.8,0.154,55.7
24,P07,dominant-seventh,33.5,0.361,82.9
25,P07,half-diminished,26.2,0.42,63.4
26,P07,diminished-seventh,54.1,0.562,72.2
27,P07,Major,0.0,0.068,55.3
28,P07,dominant-seventh,20.7,0.308,66.2
29,P07,major-seventh,3.6,0.158,57.5
30,P07,half-diminished,42.7,0.449,69.8
31,P07,augmented,56.4,0.514,72.7
32,P07,Major,0.8,0.087,78.9
33,P07,major-seventh,0.0,0.177,68.2
34,P07,diminished-seventh,58.4,0.619,82.6
35,P07,minor,21.3,0.145,73.3
1,P08,major-seventh,38.3,0.207,84.9
2,P08,dominant-seventh,52.3,0.349,79.2
3,P08,augmented,72.5,0.533,76.6
4,P08,major-seventh,22.7,0.181,70.8
5,P08,augmented,30.3,0.521,74.2
6,P08,major-seventh,5.2,0.161,59.5
7,P08,diminished-seventh,39.9,0.515,63.6
8,P08,dominant-seventh,49.5,0.367,84.7
9,P08,minor,55.4,0.153,79.3
10,P08,Major,32.1,0.085,76.7
11,P08,half-diminished,46.0,0.467,73.7
12,P08,major-seventh,23.0,0.198,79.9
13,P08,diminished-seventh,72.8,0.554,70.7
14,P08,half-diminished,58.7,0.476,75.8
15,P08,augmented,49.4,0.553,80.6
16,P08,augmented,24.7,0.436,57.2
17,P08,Major,46.2,0.087,78.5
18,P08,diminished-seventh,69.2,0.613,81.4
19,P08,half-diminished,65.8,0.503,81.8
20,P08,diminished-seventh,56.4,0.556,71.1
